Date,Currency,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
2021-05-09,ETH,3896.3218856174,3917.3819059065,3989.9003451667,3750.8201261028
2021-05-10,ETH,3998.9132149877,3928.3513379535,4213.4590629869,3668.9664808106
2021-05-11,ETH,4132.7575457957,3951.9892448369,4158.6644661496,3778.887091335
2021-05-12,ETH,4076.9597105759,4179.9317431649,4382.7258342572,3940.061710986
2021-05-13,ETH,3767.0879847605,3817.1100892111,4044.5751500684,3546.8070181894
2021-05-14,ETH,4100.0274696175,3721.398672992,4179.5078287218,3696.9045989275
2021-05-15,ETH,3746.5762483716,4082.8801208213,4137.8347131536,3659.4085302086
2021-05-16,ETH,3519.1052246467,3650.0222078519,3878.4826088146,3347.6010100135
2021-05-17,ETH,3231.944177145,3583.8626988558,3587.9667468441,3118.6593075103
2021-05-18,ETH,3415.949413392,3283.2858455515,3562.4604866605,3242.6414667335
2021-05-19,ETH,2686.1658605218,3380.3014007439,3443.3606007604,1902.0822713927
2021-05-20,ETH,2744.5236477636,2446.2403061288,3002.1829002854,2183.0523359293
2021-05-21,ETH,2407.4276232666,2777.3961608911,2944.3629902763,2108.2386775965
2021-05-22,ETH,2329.0347280905,2436.7280849715,2489.2332738053,2159.5634172097
2021-05-23,ETH,2080.3714204131,2298.970751444,2383.7598296668,1733.5785410266
2021-05-24,ETH,2539.9978638989,2099.628024501,2678.1397720096,2088.2190831907
2021-05-25,ETH,2691.5372142828,2653.0642894017,2754.0751557136,2387.1266171246
2021-05-26,ETH,2821.622828093,2707.7368872069,2914.8898771361,2651.4664738289
2021-05-27,ETH,2774.5366296328,2889.9272302613,2891.7298225767,2643.0996507089
2021-05-28,ETH,2372.9684320829,2745.5633890519,2763.9836358019,2330.8287597335
2021-05-29,ETH,2281.7697244023,2414.6048120872,2567.6436587576,2209.2062647781
2021-05-30,ETH,2407.6083522386,2281.8124436347,2480.0781090119,2189.9266012991
2021-05-31,ETH,2650.2153535206,2388.281801181,2679.2440420465,2275.6646383954
2021-06-01,ETH,2594.7180822734,2706.8177311503,2740.289807251,2528.0511802361
2021-06-02,ETH,2683.002836929,2634.1457150309,2802.8218083482,2552.8062566987
2021-06-03,ETH,2839.5365832546,2706.4475778648,2890.2156847523,2664.6151993955
2021-06-04,ETH,2731.62833844,2857.2775518205,2860.2461368858,2553.9578611819
2021-06-05,ETH,2574.8653375295,2692.6416235133,2820.2738050072,2558.6095897097
2021-06-06,ETH,2677.9014276621,2630.9854162688,2747.2238713237,2617.4099958258
2021-06-07,ETH,2610.5418189763,2713.0975666877,2847.603234203,2575.3553598092
2021-06-08,ETH,2525.5784844278,2594.7533193195,2622.7768013729,2308.9902213711
2021-06-09,ETH,2603.3259858813,2509.9545447326,2627.5443091898,2409.6910875072
2021-06-10,ETH,2482.1104738648,2611.4177610645,2625.2171781507,2428.5038163207
2021-06-11,ETH,2363.0225009193,2472.3386523368,2498.3874114411,2333.3675231978
2021-06-12,ETH,2379.87497456,2354.8145101256,2454.8125486947,2260.9152723468
2021-06-13,ETH,2520.3766460932,2371.8969753533,2548.6995605069,2311.5982657706
2021-06-14,ETH,2560.1213773409,2509.0333918438,2609.4196768565,2462.63566044
2021-06-15,ETH,2557.9001346791,2582.0679485058,2638.9015482735,2509.1902549522
2021-06-16,ETH,2387.1290757695,2544.3003121526,2555.3141514985,2381.9578104449
2021-06-17,ETH,2342.9100004971,2368.2663736407,2461.1529896492,2306.5867378074
2021-06-18,ETH,2208.3252370951,2373.6549788403,2378.2855522215,2149.1611113969
2021-06-19,ETH,2181.407845179,2235.6721266508,2278.6163863692,2178.8178207288
2021-06-20,ETH,2258.0933038483,2167.3490378249,2276.1619653892,2044.4221961701
2021-06-21,ETH,1880.8371929494,2243.8368782199,2259.4398204202,1874.3840784685
2021-06-22,ETH,1877.2549468501,1886.1386110871,1996.786075065,1711.2326878738
2021-06-23,ETH,1949.3727250359,1880.2634497941,2044.292866763,1823.817847058
2021-06-24,ETH,1980.7225029947,1968.7920753594,2035.4998660412,1886.1379825202
2021-06-25,ETH,1830.6800121565,1989.2439677497,2019.9131014875,1793.0602889996
2021-06-26,ETH,1783.2329210823,1810.0971293202,1852.1233672531,1719.4385678989
